Evolution parameters:
Namespace(mutation_prob=0.2, crossover_prob=0.6, population_size=20, generations_max='20', simulations_per_indiv=6, len_individual=6, food_weight=0.001, mutation_copies=3, tournament_k=7, resume_from_log=None, random_seed=True, n_best_to_return=None, debug=True)

Default simulation parameters:
>FISH_MOMENTUM_CONSTANT: 0.75
>FISH_FEAR_MOMENTUM_CONSTANT: 0.825
>ALIGNMENT_CONSTANT: 0.25
>COHESION_CONSTANT: 0.05
>SEPARATION_CONSTANT: 20
>SHARK_REPULSION_CONSTANT: 8
>FOOD_ATTRACTION_CONSTANT: 0.25
>WIDTH: 400
>HEIGHT: 400
>NUM_STEPS: 1000
>NUM_FISH: 200
>NUM_SHARKS: 1
>NUM_FOOD: 50
>FISH_SENSE_DIST: 25
>SHARK_SENSE_DIST: 100
>FISH_MAX_SPEED: 4
>SHARK_MAX_SPEED: 7
>SHARK_KILL_RADIUS: 10
>SHARK_MOMENTUM_CONSTANT: 1
>SHARK_SEARCH_CONSTANT: 2
>SHARK_HUNT_CONSTANT: 40
>FISH_DIM_ELLIPSE_X: 5
>FISH_DIM_ELLIPSE_Y: 9
>FISH_FEAR_CONSTANT: 3
>SHARK_DIM_ELLIPSE_X: 30
>SHARK_DIM_ELLIPSE_Y: 50
>SHARK_BLIND_ANGLE_DEG: 40
>WALL: 0
>LOG_FILEPATH: logs/log-default-simulation_2023-06-19_22-27-07.txt

Starting computation at 2023-06-19 22:27:09.

avg dead: 109, avg food: 203, score: 109
avg dead: 137, avg food: 218, score: 137
avg dead: 126, avg food: 194, score: 125
p [0.87671, 0.85202, 0.57327, 0.35868, 6.97979, 0.22682, ]  120.38400
p [0.51225, 0.39909, 0.52973, 0.91031, 0.06365, 0.66932, ]  124.48133
p [0.84416, 0.79064, 0.96145, 0.55791, 0.19914, 0.99833, ]  129.15967
p [0.39250, 0.34332, 0.84334, 1.70598, 0.25540, 0.50088, ]  129.81450
p [0.51843, 0.40946, 0.77387, 5.46163, 2.93916, 9.16389, ]  130.61867
p [0.67437, 5.37766, 2.73467, 1.80367, 0.00188, 6.46937, ]  131.22117
p [0.70427, 1.99697, 0.94616, 0.21263, 8.77597, 5.40152, ]  135.67200
p [0.64533, 0.77583, 0.41795, 9.62800, 4.82379, 3.93449, ]  142.76650
p [0.94930, 0.15532, 6.80540, 5.43369, 0.25676, 0.34488, ]  143.68550
p [0.90886, 0.88760, 0.28336, 8.18405, 0.34622, 0.43328, ]  143.85283
p [0.60622, 4.10939, 4.90871, 0.01782, 7.30111, 4.97786, ]  144.99400
p [0.92475, 7.45417, 8.57742, 0.87548, 0.84814, 9.13516, ]  146.47033
p [0.89274, 7.49736, 2.88133, 0.34771, 0.33364, 0.67244, ]  147.05150
p [0.82133, 9.42200, 3.61691, 0.16129, 9.76407, 0.14751, ]  147.23267
p [0.91342, 9.91509, 1.29929, 0.05693, 4.68047, 0.74058, ]  151.38517
p [0.56719, 7.27828, 2.75766, 0.63984, 0.69014, 0.19626, ]  152.06633
