10 best individuals of the last generation:
>>    ([0.0643876842877362, 1.0822753728695778, 0.01669391185496367, 22.03902768840094, 18.588405978299555, 0.13371849249184198], 67.878)
>>    ([0.07134949217963836, 1.0822753728695778, 0.012232932102646116, 16.611072876717326, 28.493934062244755, 0.13371849249184198], 70.89)
>>    ([0.15131940503041905, 0.6907414265355327, 0.007080584922035749, 21.169083780582966, 16.04337589965006, 0.1910934797355703], 71.879)
>>    ([0.24290193299924856, 0.9012685941956408, 0.007080584922035749, 28.079959738383867, 29.515954366659933, 0.17576802789524282], 72.469)
>>    ([0.08097158843523043, 0.9012685941956408, 0.009727274409614892, 26.845587424827922, 23.147338542674373, 0.17576802789524282], 72.865)
>>    ([0.08097158843523043, 0.48264878769789893, 0.007080584922035749, 26.845587424827922, 15.57694734457256, 0.292698108162532], 73.71299999999998)
>>    ([0.24290193299924856, 1.4264569052676024, 0.007080584922035749, 28.079959738383867, 29.515954366659933, 0.17576802789524282], 73.82799999999999)
>>    ([0.15131940503041905, 0.749906791886561, 0.007080584922035749, 21.169083780582966, 16.04337589965006, 0.1910934797355703], 73.882)
>>    ([0.07134949217963836, 0.835764240045441, 0.012232932102646116, 16.26931648273544, 14.488746550637813, 0.1641706430729791], 75.897)
>>    ([0.13496152081108456, 1.6596092185129512, 0.012232932102646116, 19.475641444890204, 14.488746550637813, 0.13371849249184198], 77.03499999999998)
Total time: 3265.086644411087
